NGI sample ID,Sample Id,GC%,Year,Extracted,Location,Population,New ID
P27562_1040,MUZAV67,39,2016,EBC,sc Sibirien Bajkalsjön,Abroad,BAJK_4
P27562_1039,MUZAV66,39,2016,EBC,sc Sibirien Bajkalsjön,Abroad,BAJK_1
P27562_1043,MUZAV64,36,2016,EBC,sc Sibirien Bajkalsjön,Abroad,BAJK_2
P27562_1064,MUZAV65,34,2016,EBC,sc Sibirien Bajkalsjön,Abroad,BAJK_3
P27562_1045,MUZAV28,38,2004,EBC,Belarus,Abroad,BELA_1
P27562_1058,MUZAV29,35.5,1989,EBC,Tjeckien,Abroad,CHEH_1
P27562_1048,MUZAV86,34.5,2004,EBC,Tjeckien,Abroad,CHEH_2
P27562_1047,MUZAV72,37,2008,EBC,Tjeckien ,Abroad,CHEH_3
P27562_1006,H106,56,1965,Museet,Dalarna,Sweden,DALA_1
P27562_1003,MUZAV4,56,1941,Museet,Gästrikland,Sweden,GAST_1
P27562_1016,MUZAV9,57,1965,Museet,Gästrikland,Sweden,GAST_10
P27562_1018,MUZAV6,55,1965,Museet,Gästrikland,Sweden,GAST_11
P27562_1012,MUZAV13,50,1969,Museet,Gästrikland,Sweden,GAST_12
P27562_1027,MUZAV1,58,1969,Museet,Gästrikland,Sweden,GAST_13
P27562_1032,MUZAV11,52,1969,Museet,Gästrikland,Sweden,GAST_14
P27562_1009,MUZAV2,57.5,1941,Museet,Gästrikland,Sweden,GAST_2
P27562_1017,MUZAV10,52.4,1941,Museet,Gästrikland,Sweden,GAST_3
P27562_1019,MUZAV14,54,1941,Museet,Gästrikland,Sweden,GAST_4
P27562_1015,MUZAV5,56,1943,Museet,Gästrikland,Sweden,GAST_5
P27562_1004,MUZAV12,56,1965,Museet,Gästrikland,Sweden,GAST_6
P27562_1010,MUZAV7,57.5,1965,Museet,Gästrikland,Sweden,GAST_7
P27562_1011,MUZAV8,57,1965,Museet,Gästrikland,Sweden,GAST_8
P27562_1014,MUZAV3,58.5,1965,Museet,Gästrikland,Sweden,GAST_9
P27562_1034,MUZAV32,53,1946,Museet,Italien,Abroad,ITAL_1
P27562_1053,MUZAV90,36.5,1994,EBC,Japan,Abroad,JAPA_1
P27562_1063,MUZAV89,36,1994,EBC,Japan,Abroad,JAPA_2
P27562_1049,Na001,36,2018,EBC,Nordens Ark,Sweden,KALM_1
P27562_1052,MUZAV55,37,2002,Museet,Krasnojarsk,Abroad,KRAS_1
P27562_1070,MUZAV58,34,2002,EBC,Krasnojarsk,Abroad,KRAS_2
P27562_1074,MUZAV56,35,2002,EBC,Krasnojarsk,Abroad,KRAS_3
P27562_1075,MUZAV57,38,2002,EBC,Krasnojarsk,Abroad,KRAS_4
P27562_1072,MUZAV80,37,2003,EBC,Polen,Abroad,POLA_1
P27562_1073,MUZAV81,35,2003,EBC,Polen,Abroad,POLA_2
P27562_1067,MUZAV44,34,1998,EBC,c Ryssland,Abroad,RUSS_1
P27562_1046,MUZAV33,37,1999,Museet,c Ryssland,Abroad,RUSS_2
P27562_1060,MUZAV34,36,1999,EBC,c Ryssland,Abroad,RUSS_3
P27562_1041,MUZAV35,38,2008,EBC,c Ryssland,Abroad,RUSS_4
P27562_1042,MUZAV39,37.5,2008,EBC,c Ryssland,Abroad,RUSS_5
P27562_1050,MUZAV45,47,2008,EBC,c Ryssland,Abroad,RUSS_6
P27562_1059,MUZAV30,35.5,1990,EBC,Slovakien,Abroad,SLOV_1
P27562_1005,MUZAV25,54,1967,Museet,Småland,Sweden,SMAL_1
P27562_1020,MUZAV26,51.5,1967,Museet,Småland,Sweden,SMAL_2
P27562_1033,MUZAV27,55.5,1967,Museet,Småland,Sweden,SMAL_3
P27562_1054,MUZAV77,36,1996,EBC,Småland,Sweden,SMAL_4
P27562_1037,MUZAV20,40.5,1998,Museet,Småland,Sweden,SMAL_5
P27562_1044,MUZAV88,35,2013,EBC,Småland,Sweden,SMAL_6
P27562_1001,D301s,58,1965,Museet,Stockholm,Sweden,STOC_1
P27562_1002,D306s,53.5,1965,Museet,Stockholm,Sweden,STOC_2
P27562_1007,D302s,56.5,1965,Museet,Stockholm,Sweden,STOC_3
P27562_1008,D305s,54.5,1965,Museet,Stockholm,Sweden,STOC_4
P27562_1013,D303s,53,1965,Museet,Stockholm,Sweden,STOC_5
P27562_1035,D304s,39,1965,Museet,Stockholm,Sweden,STOC_6
P27562_1026,MZULU-LEP7490,57.5,1951,Museet,Uppsala,Sweden,UPPS_1
P27562_1023,MZULU-LEP7484,55,1958,Museet,Uppsala,Sweden,UPPS_2
P27562_1022,B0020,54.4,1969,Museet,Uppsala,Sweden,UPPS_3
P27562_1062,MUZAV84,36.5,1991,EBC,Ural,Abroad,URAL_1
P27562_1061,MUZAV83,37,1995,EBC,s Ural,Abroad,URAL_2
P27562_1065,B024s,35,1983,EBC,Västmanland,Sweden,VAST_1
P27562_1066,MUZAV16,36,1999,EBC,Västmanland,Sweden,VAST_2
P27562_1055,H0100,36.5,2005,EBC,Västmanland,Sweden,VAST_3
P27562_1071,MUZAV46,37,1998,EBC,Voronez,Abroad,VORO_1
P27562_1051,MUZAV54,39,2015,EBC,Alatay,Abroad,АLTA_1
P27562_1069,MUZAV53,41,2015,EBC,Alatay,Abroad,АLTA_2
P27562_1057,7,38.5,1983,EBC,Kalmar,Sweden,КALM_10
P27562_1036,9,54.5,1997,EBC,Kalmar,Sweden,КALM_11
P27562_1030,MZULU-LEP7491,49.5,1955,Museet,Kalmar,Sweden,КALM_2
P27562_1031,MZULU-LEP7492,53.5,1955,Museet,Kalmar,Sweden,КALM_3
P27562_1024,MZULU-LEP7485,52,1957,Museet,Kalmar,Sweden,КALM_4
P27562_1021,MZULU-LEP7486,53,1961,Museet,Kalmar,Sweden,КALM_5
P27562_1025,MZULU-LEP7489,56,1961,Museet,Kalmar,Sweden,КALM_6
P27562_1028,MZULU-LEP7487,52,1961,Museet,Kalmar,Sweden,КALM_7
P27562_1029,MZULU-LEP7488,51,1969,Museet,Kalmar,Sweden,КALM_8
P27562_1056,1,37,1981,EBC,Kalmar,Sweden,КALM_9
P27562_1038,MUZAV49,40.5,2006,EBC,Kazakstan,Abroad,КAZA_1
P27562_1068,MUZAV48,34,2006,EBC,Kazakstan,Abroad,КAZA_2